"id_phase","№ линии","dHKL","I"
"3","5","1.168","0.07"
"3","4","1.219","0.3"
"3","3","1.43","0.3"
"3","2","2.02","0.4"
"3","1","2.33","1"
"id_phase","№ линии","dHKL","I"
"7","6","2.07","0.27"
"7","5","2.4","0.04"
"7","4","2.51","1"
"7","3","2.83","0.05"
"7","2","2.94","0.33"
"7","1","4.84","0.04"
"id_phase","№ линии","dHKL","I"
"8","6","2.28","1"
"8","5","2.41","0.38"
"8","4","2.53","0.15"
"8","3","3.67","0.25"
"8","2","4.43","0.5"
"8","1","4.6","0.5"
"id_phase","№ линии","dHKL","I"
"6","5","1.84","0.63"
"6","4","2.2","0.18"
"6","3","2.51","0.75"
"6","2","2.69","1"
"6","1","3.68","0.18"
"id_phase","№ линии","dHKL","I"
"9","5","1.379","0.2"
"9","4","1.474","0.4"
"9","3","1.75","0.6"
"9","2","2.255","1"
"9","1","2.771","0.8"
"id_phase","№ линии","dHKL","I"
"1","4","1.24","0.03"
"1","3","1.43","0.2"
"1","2","1.75","0.17"
"1","1","2.48","1"
"id_phase","№ линии","dHKL","I"
"2","6","1.07","0.18"
"2","5","1.26","0.06"
"2","4","1.31","0.5"
"2","3","1.54","0.63"
"2","2","2.17","0.2"
"2","1","2.51","1"
"id_phase","№ линии","dHKL","I"
"10","5","2.92","0.1"
"10","4","3.14","0.5"
"10","3","3.3","0.35"
"10","2","4.12","0.45"
"10","1","5.53","1"
"id_phase","№ линии","dHKL","I"
"4","5","0.958","0.03"
"4","4","1.072","0.03"
"4","3","1.236","0.2"
"4","2","1.51","0.07"
"4","1","2.14","1"
"id_phase","№ линии","dHKL","I"
"5","7","0.846","0.34"
"5","6","0.913","0.06"
"5","5","1","0.29"
"5","4","1.117","0.17"
"5","3","1.29","0.71"
"5","2","1.58","0.29"
"5","1","2.23","1"
"фаза","name"
"1","Li"
"2","SiC"
"3","Al"
"4","V"
"5","W"
"6","Fe2O3"
"7","CoCr2O4"
"8","CuMg2"
"9","Hg"
"10","UCl4"
